age,gender,education_level,job_experience,income,bonus,work_hours_per_week,company_size,industry,stress_level,job_satisfaction,city_tier,commute_time_minutes,remote_work_ratio,days_since_last_promotion,attrition_risk
25,Male,Bachelor,2,45000,5000,45,Medium,Technology,7,6,2,60,0.2,180,0
32,Female,Master,5,65000,8000,42,Large,Finance,5,8,1,45,0.3,90,0
28,Female,Bachelor,3,50000,4000,40,Small,Healthcare,6,7,2,50,0.1,240,1
45,Male,PhD,15,120000,15000,50,Large,Technology,8,9,1,30,0.5,30,0
22,Male,High School,1,30000,2000,35,Small,Retail,4,5,3,75,0.0,365,1
38,Female,Master,8,85000,10000,44,Medium,Finance,6,7,1,40,0.4,120,0
29,Male,Bachelor,4,55000,6000,42,Medium,Technology,5,8,2,55,0.2,200,0
50,Female,PhD,20,140000,20000,48,Large,Healthcare,9,8,1,25,0.6,60,0
27,Male,Master,2,48000,3000,38,Small,Education,7,6,3,70,0.1,300,1
33,Female,Bachelor,6,72000,9000,43,Large,Technology,6,9,1,35,0.3,100,0
41,Male,Master,12,95000,12000,46,Medium,Finance,7,7,1,38,0.5,150,0
26,Female,Bachelor,2,46000,3500,40,Small,Retail,5,5,3,80,0.0,340,1
48,Male,PhD,18,130000,18000,49,Large,Healthcare,8,9,1,28,0.7,45,0
31,Female,Master,4,60000,7000,41,Medium,Technology,4,8,2,48,0.3,180,0
24,Male,Bachelor,1,32000,2500,36,Small,Education,6,4,3,85,0.1,400,1
36,Female,Master,7,78000,9500,44,Large,Finance,5,8,1,42,0.4,110,0
43,Male,Bachelor,14,88000,11000,45,Medium,Technology,7,7,1,40,0.5,130,0
29,Female,Bachelor,3,52000,4500,39,Small,Healthcare,6,6,2,65,0.1,250,1
52,Male,PhD,25,160000,25000,50,Large,Technology,9,10,1,20,0.8,15,0
27,Male,Master,2,47000,3200,37,Small,Retail,4,5,3,90,0.0,380,1
30,Female,Bachelor,5,58000,6500,42,Medium,Finance,5,7,2,52,0.2,190,0
39,Female,Master,9,90000,11500,45,Large,Healthcare,6,9,1,33,0.6,95,0
23,Female,Bachelor,0,28000,1500,34,Small,Education,5,3,3,95,0.0,450,1
34,Male,Master,6,68000,8200,43,Medium,Technology,4,8,2,46,0.3,170,0
46,Female,PhD,16,125000,16000,47,Large,Finance,8,9,1,32,0.7,50,0
28,Male,Bachelor,2,44000,3800,40,Small,Retail,6,5,3,78,0.0,320,1
37,Female,Master,8,82000,10500,44,Large,Technology,5,8,1,37,0.4,105,0
44,Male,Bachelor,13,92000,12500,46,Medium,Healthcare,7,7,1,39,0.6,140,0
26,Female,Bachelor,1,34000,2800,35,Small,Education,5,4,3,88,0.1,410,1
35,Male,Master,7,75000,9200,43,Medium,Finance,4,8,2,44,0.3,160,0
